original_language,original_title,popularity,release_date,runtime,title,vote_average,vote_count,price
en,? ?e?a???,0.042369,27/04/2011,94,The Guide,10,1,9.99
en,The Class of '92,1.941454,01/12/2013,98,The Class of '92,7.1,35,6.99
en,The Valley of Gwangi,2.082918,24/07/1969,96,The Valley of Gwangi,7.5,52,7.99
en,Heavy Metal Parking Lot,0.885949,01/01/1986,17,Heavy Metal Parking Lot,7.6,10,7.99
en,The Final Cut,1.797462,01/03/1996,96,The Final Cut,7.3,3,6.99
en,American Scary,0.162407,21/10/2006,92,American Scary,7.7,3,7.99
en,We Need a Vacation,0.037652,24/07/2004,86,We Need a Vacation,9,1,8.99
en,Eggshells,0.055097,01/01/1969,89,Eggshells,10,1,9.99
en,Catastroika,0.721417,11/02/2012,87,Catastroika,7.1,6,6.99
en,40 Carats,1.676035,28/06/1973,110,40 Carats,7.5,1,7.99
en,Generation Kill,4.213894,13/07/2008,470,Generation Kill,7.8,88,7.99
en,Come Live with Me,1.047901,31/01/1941,86,Come Live with Me,8,3,7.99
en,Wonder Woman,7.306487,03/03/2009,74,Wonder Woman,7.2,133,6.99
en,The Lego Movie,16.418133,06/02/2014,100,The Lego Movie,7.5,3127,7.99
en,La luna,7.331398,01/01/2011,7,La luna,8,257,7.99
en,The Grand Budapest Hotel,14.442048,26/02/2014,99,The Grand Budapest Hotel,8,4644,7.99
en,The Inevitable Defeat of Mister & Pete,2.476252,11/10/2013,108,The Inevitable Defeat of Mister & Pete,7.4,34,6.99
en,Interstellar,32.213481,05/11/2014,169,Interstellar,8.1,11187,7.99
en,Particle Fever,10.743115,14/06/2013,99,Particle Fever,7.1,102,6.99
en,"Blackbeard, the Pirate",1.369747,24/12/1952,99,"Blackbeard, the Pirate",7.1,10,6.99
en,Superpower,0.081203,28/08/2008,119,Superpower,7.5,2,7.99
en,Cosmic Psychos: Blokes You Can Trust,0.081655,08/08/2013,110,Cosmic Psychos: Blokes You Can Trust,7.5,1,7.99
en,Prison Terminal: The Last Days of Private Jack Hall,0.150765,01/01/2013,40,Prison Terminal: The Last Days of Private Jack Hall,7.3,4,6.99
en,Blondes at Work,0.244976,05/02/1938,63,Blondes at Work,7.3,2,6.99
en,Captain America: The Winter Soldier,18.717704,20/03/2014,136,Captain America: The Winter Soldier,7.6,5881,7.99
en,Starred Up,7.047117,09/09/2013,106,Starred Up,7.1,324,6.99
en,Across to Singapore,0.140491,07/04/1928,85,Across to Singapore,7.7,3,7.99
en,Free to Play,3.453816,19/03/2014,75,Free to Play,7.1,60,6.99
en,Her Master's Voice,0.271013,11/03/2012,64,Her Master's Voice,8.1,4,7.99
en,Calvary,11.033403,11/04/2014,100,Calvary,7.1,334,6.99
en,In Your Eyes,8.448518,20/04/2014,105,In Your Eyes,7.1,275,6.99
en,The Reckoning,0.985307,01/01/1970,111,The Reckoning,7.5,2,7.99
en,Broadway Melody of 1938,0.113383,20/08/1937,110,Broadway Melody of 1938,8,2,7.99
en,Jodorowsky's Dune,6.18442,30/08/2013,90,Jodorowsky's Dune,8.1,172,7.99
en,Belle,13.454169,08/09/2013,105,Belle,7.2,230,6.99
en,I Think We're Alone Now,0.287635,01/01/2008,64,I Think We're Alone Now,7.6,8,7.99
en,X-Men: Days of Future Past,26.058586,15/05/2014,131,X-Men: Days of Future Past,7.5,6155,7.99
en,Chef,8.720309,08/05/2014,114,Chef,7.2,1203,6.99
en,The Love God?,1.02843,01/08/1969,101,The Love God?,7.4,5,6.99
en,The Normal Heart,12.661286,25/05/2014,133,The Normal Heart,7.9,320,7.99
en,Begin Again,10.289628,07/09/2013,104,Begin Again,7.3,1285,6.99
en,Loving,0.689498,04/03/1970,89,Loving,7.8,3,7.99
en,Mile... Mile & A Half,1.097326,01/06/2013,87,Mile... Mile & A Half,8.8,4,8.99
en,Edge of Tomorrow,31.982986,27/05/2014,113,Edge of Tomorrow,7.6,4979,7.99
en,Mission: Impossible - Rogue Nation,17.836882,23/07/2015,131,Mission: Impossible - Rogue Nation,7.1,3274,6.99
en,Narco Cultura,1.551364,22/11/2013,103,Narco Cultura,7.1,26,6.99
en,Bad Boy,0.315508,22/02/1949,86,Bad Boy,8,1,7.99
en,The Fault in Our Stars,16.274653,16/05/2014,125,The Fault in Our Stars,7.6,3868,7.99
en,The Case Against 8,0.996049,06/06/2014,109,The Case Against 8,8,4,7.99
